A 马列主义、毛泽东思想、邓小平理论
				H026.3 形态语言
			H028 古文字考释（古文字辨认学）
		H03 语义学、语用学、词汇学、词义学
			H030 语义学、语用学
			H031 基本词汇
			H032 同义词、多义词、反义词
			H033 熟语
			H034 俗语
			H035 外来语
			H039 词源学
		H04 语法学
			H041 构词法
			H042 词类
			H043 句法
		H05 写作学与修辞学
			H051 风格论
			H052 文体论
			H055 标点法
			H058 韵律学
			H059 翻译学
		H06 词典学
			H061 词典
		H07 方言学
		H08 应用语言学
			H083 术语学
			H085 机器翻译
				H085.2 原文的自动分析与综合
				H085.3 两种语言的翻译
				H085.4 媒介语和多种语言的翻译
				H085.5 机器词典与词表
			H087 数理语言学
		H09 语文教学
	H1 汉语
		H1-0 汉语理论与方法论
			H1-01 方针政策及其阐述
			H1-09 汉语发展史与汉语语言学史
		H102 汉语的规范化、标准化、推广普通话
		H109.2 古代汉语
		H109.3 近代汉语
		H109.4 现代汉语
		H11 语音(音韵学)
			H111 上古语音（周秦两汉语音）
			H113 中古语音（魏晋南北朝―宋语音）
				H113.1 《切韵》
				H113.2 《唐韵》
				H113.3 《广韵》
				H113.4 《集韵》
				H113.6 其他韵书
				H113.9 等韵学
			H114 近代语音（元、明、清语音）
				H114.1 《古今韵会举要》
				H114.2 《中原音韵》、《中州音韵》
				H114.3 《洪武正韵》
				H114.9 其他韵书
			H116 现代语音
				H116.1 发音
				H116.2 音素与音位
				H116.3 音节结构
				H116.4 字调（四声、轻声）、语调
			H119 朗诵法、演讲术
		H12 文字学
			H121 古文字
			H122 汉字构造
			H123 汉字形体
			H124 汉字整理和简化
				H124.1 汉字整理、正字表
				H124.2 简化字
				H124.3 异体字、同音字、多音字
				H124.5 检字法
				H124.7 行款
			H125 汉字改革
				H125.1 汉语拼音的发展
					H125.11 清末以前拼音字母
					H125.12 注音字母
					H125.13 国语罗马字
					H125.14 拉丁化新文字
					H125.19 其他拼音方案
				H125.2 汉语拼音方案
				H125.3 拼写法
				H125.4 拼音读物
				H125.5 拼音的应用
			H126 特种文字
				H126.1 速记
				H126.2 盲文
				H126.3 形态语言
			H127 汉字编码
		H13 语义、词汇、词义（训诂学）
			H131 古代词汇
				H131.2 《尔雅》
				H131.3 《释名》
				H131.4 《广雅》（《博雅》）
				H131.5 群雅
				H131.6 群书音义
				H131.7 群书解诂
			H134 近代词汇
			H136 现代词汇
				H136.1 基本词汇
				H136.2 同义词、多义词、反义词
				H136.3 熟语
				H136.4 俗语
				H136.5 外来语
				H136.6 略语
				H136.7 迭字、连绵字
			H139 词源学（字源学）
		H14 语法
			H141 古代语法（文言语法）
			H146 近现代语法
				H146.1 构词法
				H146.2 词类
				H146.3 句法
		H15 写作、修辞
			H151 风格论
			H152 文体论
				H152.1 记叙文
				H152.2 辩论文
				H152.3 应用文
			H155 标点法
			H159 翻译
		H16 字典、词典、古代字书
			H161 《说文》
			H162 其他字书
			H163 字典
			H164 词典
		H17 方言
			H171 古代方言
			H172 北方话（官话方言）
				H172.1 北方方言（华北官话）
				H172.2 西北方言
				H172.3 西南方言
				H172.4 江淮方言（下江官话）
			H173 吴语（江浙话）
			H174 湘语（湖南话）
			H175 赣语
			H176 客家语
			H177 闽语（福佬话）
				H177.1 闽北语
				H177.2 闽南语
			H178 粤语（广东话、白话）
			H179 其他汉语方言
		H19 汉语教学
			H191 教学改革
			H192 教学计划、教学大纲
			H193 教学法
				H193.1 儿童语言研究
				H193.2 语音教学
				H193.3 文字教学
				H193.4 词汇教学
				H193.5 语法教学
				H193.6 写作教学
			H194 汉语读物
				H194.1 古代汉语读物
				H194.3 现代汉语读物
				H194.4 初级学校读物
				H194.5 中级学校读物
			H195 对外汉语教学
				H195.1 教学理论
				H195.2 教学计划、教学大纲
				H195.3 教学法、教学工作
				H195.4 教材、课本
				H195.5 读物
	H2 中国少数民族语言
		H211 少数民族古语言
			H211.1 匈奴语
			H211.2 鲜卑语
			H211.3 突厥语
			H211.4 回鹘语
			H211.5 契丹语
			H211.6 女真语
			H211.7 西夏语
			H211.8 土火罗语
		H212 蒙古语
		H214 藏语
		H215 维吾尔语
		H216 苗语
		H217 彝语
		H218 壮语
		H219 朝鲜语
		H221 满语
		H222 达斡尔语（达呼尔语）
		H223 鄂温克语（索伦语）
		H224 鄂伦春语
		H225 赫哲语
		H231 土族语
		H232 撒拉语
		H233 东乡语
		H234 保安语
		H235 裕固语（撒里维吾尔语）
		H236 哈萨克语
		H237 柯尔克孜语（吉尔吉斯语）
		H238 乌孜别克语
		H241 塔吉克语
		H242 塔塔尔语
		H243 锡伯语
		H244 俄罗斯语
		H249 基诺语
		H251 瑶语（曼语）
		H252 白语（民家语）
		H253 傣语
		H254 哈尼语
		H255 佤语（本人语）
		H256 傈僳语
		H257 纳西语（么些语）
		H258 拉祜语（保语）
		H259 景颇语
		H261 布朗语
		H262 阿昌语
		H263 怒语
		H264 德昂语
		H265 独龙语（俅语）
		H266 普米语（西番语）
		H267 门巴语
		H268 布依语
		H269 水语（水家语）
		H271 仡佬语
		H272 侗语
		H273 土家语（毕基语）
		H274 羌语
		H275 仫佬语（莫语）
		H276 毛南语
		H281 黎语
		H282 京语（越南语）
		H284 高山语
		H289 其他
	H3 常用外国语
		H31 英语
			H310.1 非标准英语
			H310.4 英语水平考试
				H310.41 世界
				H310.42 中国
			H310.9 英语发展史
			H311 语音
				H311.9 朗诵法、演讲术
			H312 文字
			H313 语义、词汇、词义
				H313.1 基本词汇
				H313.2 同义词、多义词、反义词
				H313.3 熟语、俗语
				H313.5 外来语
				H313.6 略语
				H313.9 词源
			H314 语法
				H314.1 构词法
				H314.2 词类
				H314.3 句法
			H315 写作修辞
				H315.9 翻译
			H316 词典
			H317 方言
			H319 语文教学
				H319.1 教学改革
				H319.2 教学计划、教学大纲
				H319.3 教学法
				H319.4 读物
				H319.6 习题、试题
				H319.9 会话
		H32 法语
		H33 德语
		H34 西班牙语
		H35 俄语
		H36 日语
		H37 阿拉伯语
	H4 汉藏语系
		H41 壮侗语族（侗傣语族）
			H411 老挝语（寮语）
			H412 泰语（暹罗语）
			H413 昆语（克伦语、卡连语）
			H414 掸语
		H42 藏缅语族
			H421 缅甸语
			H422 库启钦语
			H423 波多语
			H424 拉迦语（那迦语）
			H429 藏缅语族其他语言
		H43 苗瑶语族
		H44 越南语
	H5 阿尔泰语系（突厥-蒙古-通古斯语系）
		H51 突厥语族
			H511 阿塞拜疆语
			H512 土耳其语
			H513 土库曼语
			H514 哈萨克语
			H515 阿尔泰语
			H516 喀山-鞑靼语
			H517 巴什基尔语
			H518 克里木-鞑靼语
			H519 库麦克语
		H53 蒙古语族
			H531 蒙古语（喀尔喀蒙古语）
			H532 布利亚特语
			H533 喀尔玛克蒙古语
			H535 莫古勒语
		H54 通古斯-满语族
			H541 鄂温克语（索伦语）
			H542 埃文语（拉穆特语）
			H543 涅基达尔语
			H544 锡伯语
			H545 那乃语
			H546 乌德语
			H547 乌利奇语（乌尔赤语）
		H55 朝鲜语
	H61 南亚语系（澳斯特罗-亚细亚语系）
		H611 扪达语族
		H612 孟语
		H613 高棉语（柬埔寨国语）
		H614 占语
	H62 南印语系（达罗毗荼语系、德拉维达语系）
		H621 泰卢固语
		H622 泰米尔语
		H623 马拉雅兰语
		H624 卡那拉语
		H625 库伊语
		H626 贡德语
		H627 布拉呼语
		H628 图鲁语
		H629 其他语言
	H63 南岛语系（马来亚-玻里尼西亚语系）
		H631 印度尼西亚语族
			H631.1 马来语（马来西亚国语）
			H631.2 印尼语（印尼国语）
			H631.3 爪哇语、巽他语、马都拉语、巴厘语（巴厘岛）
			H631.4 巴塔克语（苏门答腊岛）
			H631.5 达亚克语（加里曼丹岛）
			H631.6 马卡沙语（苏拉威西岛）
			H631.7 他加禄（泰加洛）语、伊洛卡诺语（菲律宾）
			H631.8 马尔加什语
		H632 密克罗尼西亚语族
		H633 美拉尼西亚语族
		H634 玻里尼西亚语族
			H634.1 毛利语
			H634.2 萨摩亚语
			H634.3 塔希提语
			H634.4 塔纳语
		H635 巴布亚诸语言
		H636 安达曼语
	H64 东北亚诸语言
		H641 楚克奇语（罗拉维特兰语）
		H642 内梅兰语（科里亚克语）
		H643 伊杰耳缅语（堪察加语）
		H644 开特语（叶尼塞-奥斯加克语）
		H645 奥杜尔语（犹卡吉尔语）
		H646 尼夫赫语（吉里雅克语）
		H647 阿伊努语（虾夷语）
		H648 琉球语
	H65 高加索语系（伊比利亚-高加索语系）
		H651 卡尔特维里语族（伊比利亚语族）
			H651.1 格鲁吉亚语
			H651.2 赞语（麦格列尔-强语）
			H651.3 斯万语
		H652 阿布哈兹-阿第盖语族
		H653 巴茨比-基斯金语族
		H654 列兹金语族
		H655 达格斯坦语族
		H659 巴斯克语
	H66 芬兰—乌戈尔语系
		H661 芬兰语族
			H661.1 芬兰语（苏奥密语）
			H661.2 拉普兰语（萨姆语）
			H661.3 爱沙尼亚语
			H661.4 莫尔多瓦语
			H661.5 马里语
			H661.6 乌德木尔特语（沃加克语）
			H661.7 塞连语（科米语）
		H662 乌拉尔语族（乌戈尔语族）
			H662.1 匈牙利语
			H662.2 曼西语（沃古尔语）
			H662.3 汉提语（奥斯加克语）
			H662.4 萨莫耶德诸语言
	H67 闪—含语系(阿非罗-亚细亚语系)
		H671 闪语族
			H671.1 阿卡德语（亚述-巴比伦语）
			H671.2 迦南语
			H671.3 希伯莱语
			H671.4 阿拉米亚语（亚拉美克语）
			H671.6 埃塞俄比亚语（阿比西尼亚语、阿木哈尔语）
		H672 柏柏尔语族
		H673 埃及-科普特语族
		H674 库希特语族
		H675 乍得语族
	H7 印欧语系
		H71 印度语族
			H711 古印度语
			H712 印地语
			H713 乌尔都语
			H714 孟加拉语
			H715 比哈尔语
			H716 旁遮普语
			H717 马拉地语
			H718 僧伽罗语
			H719 拉贾斯坦语
		H73 伊朗语族
			H731 古波斯语
			H732 中古波斯语
			H733 波斯语
			H734 塔吉克语
			H735 普什图语（阿富汗语）
			H736 俾路支语
			H737 库尔德语
			H739 伊朗语族其他语言
		H74 斯拉夫语族
			H741 乌克兰语
			H742 白俄罗斯语
			H743 捷克语
			H744 斯洛伐克语
			H745 波兰语
			H746 保加利亚语
			H747 塞尔维亚-克罗地亚语
			H748 斯洛文语
			H749 斯拉夫语族其他语言
		H75 波罗的语族
			H751 立陶宛语
			H752 拉脱维亚语
			H753 古普鲁士语
		H76 日耳曼语族
			H761 荷兰语
			H762 丹麦语
			H763 瑞典语
			H764 冰岛语
			H765 挪威语
			H769 日耳曼语族其他语言
		H77 罗马语族
			H771 拉丁语
			H772 意大利语
			H773 葡萄牙语
			H774 加泰隆语
			H775 摩尔达维亚语
			H776 罗马尼亚语
			H779 罗马语族其他语言
		H78 凯尔特语族
			H781 爱尔兰语
			H782 苏格兰语
			H783 威尔士语
			H784 布列塔尼语
			H789 凯尔特语族其他语言
		H791 希腊语族
			H791.1 古希腊语
			H791.2 中古希腊语（拜占廷语）
			H791.3 新希腊语
		H792 阿尔巴尼亚语族：阿尔巴尼亚语
		H793 亚美尼亚语族：亚美尼亚语
		H794 安纳托利亚语族
		H795 吐火罗语族
	H81 非洲诸语言
		H811 沙里-尼罗语系
		H815 尼日尔-刚果语系
	H83 美洲诸语言
		H831 那华特耳语、奎车语、卡克契阔耳语、曼姆语、犹卡特克语、刻克齐语、奥托米语、乍泼特克语、密希特克语、托托那克语（墨西哥、危地马拉境内语言）
		H832 图皮-瓜拉尼语系（巴拉圭、巴西西南部）
		H833 革拉耳语（巴西亚马逊河流域）
		H834 奎出瓦语（秘鲁、厄瓜多尔、玻利维亚）
		H835 埃马拉语（秘鲁、玻利维亚）
		H836 那瓦荷语（美国西南部）
		H839 爱斯基摩-阿留申语系（北美洲极北部）
	H84 大洋洲诸语言
	H9 国际辅助语
		H91 世界语
		H92 沃拉布克国际语
		H93 阿克奇顿道尔国际语
		H94 艾多国际语
		H95 国际语
I 文学
	I0 文学理论
		I0-02 文学的哲学基础
		I0-03 文学的方法论
		I0-05 文学与其他科学的关系
		I01 文艺美学
		I02 文学理论的基本问题
			I021 文学的民族化、大众化
			I022 文学与现实生活
			I023 文学的普及与提高
			I024 内容与形式
			I025 典型与形象
			I026 文学遗产的批判继承
		I03 文艺工作者
		I04 文学创作论
			I041 题材、主题思想
			I042 人物形象
			I043 结构、情节
			I044 风格、技巧
			I045 文学语言
			I046 文学翻译
		I05 各体文学理论和创作方法
			I052 诗歌
			I053 戏剧文学
				I053.5 电影剧本、电视剧本、广播剧本
			I054 小说
			I055 报告文学、史传文学
			I056 散文、杂著
			I057 民间文学
			I058 儿童文学
			I059 民族文学
				I059.9 宗教文学
		I06 文学评论、文学欣赏
	I1 世界文学
		I1-61 文学词典
		I106 各体文学评论与研究
			I106.2 诗歌
			I106.3 戏剧文学
				I106.35 电影剧本、电视剧本、广播剧本
			I106.4 小说
			I106.5 报告文学
			I106.6 散文、杂著
			I106.7 民间文学
			I106.8 儿童文学
			I106.9 民族文学
				I106.99 宗教文学
		I109 文学史、文学思想史
			I109.2 古代（公元前约3500年~公元476年）
			I109.3 中世纪（476~1640年）
				I109.31 文艺复兴时期（1500~1640年）
			I109.4 近代（1640~1917年）
			I109.5 现代（1917年~）
			I109.9 文学流派及其研究
		I11 作品集
		I12 诗歌集
		I13 戏剧
		I14 小说集
		I15 报告文学集
		I16 散文集
		I17 民间文学集
		I18 儿童文学
	I2 中国文学
		I2-49 中国文学普及读物
		I2-61 中国文学词典
		I2-62 中国文学手册、指南
		I200 方针政策及其阐述
		I206 文学评论和研究
			I206.09 文学批评史
			I206.2 古代文学（~1840年）
			I206.5 近代文学（1840~1919年）
			I206.6 现代文学（1919~1949年）
			I206.7 当代文学（1949年~）
		I207 各体文学评论和研究
			I207.2 诗歌、韵文
				I207.209 诗歌史
				I207.21 诗律（诗韵）、诗法
				I207.22 诗歌
				I207.23 词
				I207.24 散曲
				I207.25 新诗
			I207.3 戏剧文学
				I207.309 戏剧文学史
				I207.32 京剧
				I207.33 歌剧、歌舞剧
				I207.34 话剧
				I207.35 电影剧本、电视剧本、广播剧本
					I207.351 电影剧本
					I207.352 电视剧本
					I207.353 广播剧本
				I207.36 地方剧
				I207.37 古代戏曲
				I207.38 其他剧种
				I207.39 曲艺
			I207.4 小说
				I207.409 小说史
				I207.41 古代小说
					I207.411 《红楼梦》评论与研究
					I207.412 《水浒》研究与评论
					I207.413 《三国演义》评论与研究
					I207.419 其他古代小说研究与评论
				I207.42 新体小说
					I207.424 章回小说
					I207.425 长篇、中篇小说
					I207.427 短篇、故事
			I207.5 报告文学
			I207.6 散文、杂著
				I207.62 古代（~1840年）
				I207.65 近代、现代（1840~1949年）
				I207.67 当代（1949年~）
			I207.7 民间文学
			I207.8 儿童文学
			I207.9 少数民族文学
				I207.99 宗教文学
		I209 文学史、文学思想史
			I209.9 地方文学史
		I21 作品集
			I210 鲁迅著作及研究
				I210.1 全集
				I210.2 选集、文集、语录
				I210.3 理论著作
				I210.4 杂文、散文
				I210.5 诗
				I210.6 小说
				I210.7 日记、书信
				I210.8 手稿、墨迹
				I210.91 史著
				I210.93 译文集
				I210.96 鲁迅思想的学习和研究
				I210.97 著作研究
				I210.99 书目、索引
			I211 作品综合集
			I218 地方作品综合集
			I219 群众文艺演唱材料
		I22 诗歌、韵文
			I222 古代至近代作品（~1919年）
				I222.2 诗经
				I222.3 楚辞
				I222.4 赋
				I222.5 骈文
				I222.6 乐府
				I222.7 古体诗、近体诗
				I222.8 词
				I222.9 散曲
			I226 现代作品（1919~1949年）
				I226.1 自由诗
				I226.2 抒情诗
				I226.3 叙事诗
				I226.7 格律诗
				I226.8 词
				I226.9 其他
			I227 当代作品（1949年~）
		I23 戏剧文学
			I230 综合集
			I232 京剧
			I233 歌剧、歌舞剧、秧歌剧
			I234 话剧
			I235 电影、电视、广播剧本
				I235.1 电影
				I235.2 电视
				I235.3 广播剧
			I236 地方剧
				I236.1 北京市地方剧
				I236.21 天津市地方剧
				I236.22 河北省地方剧
				I236.25 山西省地方剧
				I236.26 内蒙古自治区地方剧
				I236.3 东北地区地方剧
				I236.41 陕西省地方剧
				I236.42 甘肃省地方剧
				I236.43 宁夏回族自治区地方剧
				I236.44 青海省地方剧
				I236.45 新疆维吾尔自治区地方剧
				I236.51 上海市地方剧
				I236.52 山东省地方剧
				I236.53 江苏省地方剧
				I236.54 安徽省地方剧
				I236.55 浙江省地方剧
				I236.56 江西省地方剧
				I236.57 福建省地方剧
				I236.58 台湾省地方剧
				I236.61 河南省地方剧
				I236.63 湖北省地方剧
				I236.64 湖南省地方剧
				I236.65 广东省地方剧
					I236.658 香港地方剧
					I236.659 澳门地方剧
				I236.66 海南省地方剧
				I236.67 广西壮族自治区地方剧
				I236.71 四川省地方剧
					I236.719 重庆市地方剧
				I236.73 贵州省地方剧
				I236.74 云南省地方剧
				I236.75 西藏自治区地方剧
			I237 古代戏曲
				I237.1 杂剧
				I237.2 传奇
			I238 其他剧种
				I238.1 诗剧
				I238.2 朗诵剧
				I238.3 活报剧
				I238.4 哑剧
				I238.5 快板剧
				I238.6 滑稽剧
				I238.7 皮影戏、木偶戏（傀儡戏）
				I238.8 戏剧小品集
			I239 曲艺
				I239.1 弹词
				I239.2 鼓词
				I239.3 河南坠子、道情、渔鼓
				I239.4 琴书
				I239.5 曲词
				I239.6 快书、快板
				I239.7 相声、独脚戏
				I239.8 评书
				I239.9 其他
		I24 小说
			I242 古代至近代作品（~1919年）
				I242.1 笔记小说
				I242.3 话本、评话
				I242.4 章回小说
				I242.7 短篇小说
			I246 现代作品（1919~1949年）
				I246.1 笔记小说
				I246.3 评话
				I246.4 章回小说
				I246.5 新体长篇、中篇小说
				I246.7 新体短篇小说
				I246.8 故事
			I247 当代作品（1949年~）
				I247.4 章回小说
				I247.5 新体长篇、中篇小说
					I247.51 革命斗争小说
					I247.52 军事小说
					I247.53 史传小说
					I247.54 经济、政治建设小说
					I247.55 科幻小说
					I247.56 惊险推理小说
					I247.57 社会言情小说
					I247.58 武侠小说
					I247.59 其他题材小说
				I247.7 新体短篇小说
				I247.8 故事、微型小说
		I25 报告文学
			I251 回忆录
			I252 厂史、村史、家史
			I253 通讯、特写、专题报道
				I253.1 政治、法律
				I253.2 军事、国防建设
				I253.3 经济
				I253.4 文化、教育、体育
				I253.5 文学、艺术
				I253.6 科学与工程技术
				I253.7 社会生活与社会问题
				I253.9 其他
		I26 散文
			I262 古代作品(公元前 21 世纪--公元前 475 年)
			I263 封建社会作品(公元前 475 年--1840 年)
			I265 近代作品(1840 年--1919 年)
			I266 现代作品（1919~1949年）
				I266.1 随笔、杂文
				I266.3 小品文
				I266.4 游记
				I266.5 书信、日记
			I267 当代作品（1949年~）
			I269 杂著
				I269.6 古代至现代作品（~1949年）
				I269.7 当代作品（1949年~）
		I27 民间文学
			I276 古代至现代作品（~1949年）
				I276.2 民间歌谣
					I276.29 各民族歌谣
				I276.3 民间故事、民间传说
				I276.4 寓言
				I276.5 神话
				I276.6 变文、宝卷
				I276.7 谚语
				I276.8 谜语、笑话、幽默
			I277 当代作品（1949年~）
				I277.2 民间歌谣
					I277.29 各民族歌谣
				I277.3 民间故事、民间传说
				I277.4 寓言
				I277.5 神话
				I277.7 谚语
				I277.8 谜语、笑话、幽默
		I28 儿童文学
			I286 古代至现代作品（~1949年）
				I286.2 诗歌、童谣
				I286.3 戏剧、歌舞剧
					I286.39 曲艺
				I286.4 小说
				I286.5 故事
					I286.59 报告文学
				I286.6 散文
				I286.7 童话、寓言
				I286.8 图画故事
			I287 当代作品（1949年~）
				I287.2 诗歌、童谣
				I287.3 戏剧、歌舞剧
					I287.39 曲艺
				I287.4 小说
					I287.45 长篇、中篇小说
					I287.47 短篇小说、微型小说
				I287.5 故事
					I287.59 报告文学
				I287.6 散文
				I287.7 童话、寓言
				I287.8 图画故事
		I29 少数民族文学
			I299 宗教文学
	I312 朝鲜文学
	I313 日本文学
	I333 越南文学
	I336 泰国文学
	I339 新加坡文学
	I351 印度文学
	I371 阿拉伯地区文学
	I512 前苏联文学
	I513 波兰文学
	I514 捷克文学
	I515 匈牙利文学
	I516 德国文学
	I521 奥地利文学
	I532 瑞典文学
	I533 挪威文学
	I534 丹麦文学
	I545 希腊文学
	I546 意大利文学
	I561 英国文学
	I562 爱尔兰文学
	I565 法国文学
	I611 澳大利亚文学
	I711 加拿大文学
	I712 美国文学
	I775 哥伦比亚文学
	I777 巴西文学
	I783 阿根廷文学
J 艺术
	J0 艺术理论
		J0-02 艺术的哲学基础
		J0-03 艺术的方法论
		J0-05 艺术与其他科学的关系
		J01 艺术美学
		J02 艺术理论的基本问题
			J021 民族化、大众化
			J022 艺术与现实生活
			J023 普及与提高
			J024 内容与形式
			J026 民族遗产的批判继承
		J03 艺术工作者
		J04 艺术创作方法和经验
			J042 题材、主题思想
			J043 典型、形象
			J044 作品结构
			J045 风格、技巧
		J05 艺术评论欣赏
		J06 造型艺术理论
			J061 构图学
			J062 透视学
			J063 色彩学
			J064 艺术解剖学
		J08 艺术技法
	J1 世界各国艺术概况
		J11 世界艺术
			J110.9 艺术史、艺术思想史
				J110.92 古代（公元前约3500～公元467年）
				J110.93 中世纪（467～1640）
				J110.94 近代（1640～1917）
				J110.95 现代（1917年～）
				J110.99 艺术流派及其研究
			J111 艺术作品综合集
			J114 艺术市场
		J12 中国艺术
			J120.0 方针政策及其阐述
			J120.9 艺术史、艺术思想史
			J121 艺术作品综合集
			J124 艺术市场
		J19 宗教艺术
	J2 绘画
		J2-3 绘画研究方法、工作方法
			J2-39 电子绘画技术
		J2-61 美术辞典
		J20 绘画理论
			J20-02 绘画艺术的哲学基础
			J20-05 绘画艺术与其他科学的关系
			J201 绘画美学
			J202 绘画艺术理论的基本问题
			J203 绘画工作者
			J204 绘画创作方法和经验
			J205 绘画评论与欣赏
			J206 绘画造型艺术理论
				J206.1 构图学
				J206.2 透视学
				J206.3 色彩学
				J206.4 绘画艺术解剖学
			J209 绘画艺术史
				J209.9 绘画流派及其研究
		J21 绘画技法
			J211 一般技法
				J211.2 各种画技法：按题材分
					J211.21 政治、军事
					J211.22 经济、文化
					J211.23 历史
					J211.24 风俗、社会生活
					J211.25 人物、肖像
					J211.26 风景、山水
					J211.27 静物、花卉、竹木
					J211.28 鸟兽、鱼虫
					J211.29 其他
				J211.6 绘画材料和工具
				J211.7 绘画的装帧和修裱技术
			J212 中国画画技法
				J212.1 基本技法
				J212.2 各种画技法：按题材分
				J212.6 绘画材料和工具
				J212.7 绘画的装帧和修裱技术
			J213 油画技法
				J213.1 基本技法
				J213.2 各种画技法：按题材分
				J213.6 绘画材料和工具
				J213.9 漆画、涂料画技法
			J214 素描、速写技法
				J214.1 铅笔画技法
				J214.2 钢笔画技法
				J214.3 木炭画技法
			J215 粉画、蜡笔画技法
			J216 粉画、蜡笔画技法
			J217 版画技法
			J218 各种画技法：按用途分
				J218.1 宣传画
				J218.2 漫画
				J218.3 年画
				J218.4 连环画
				J218.5 组画、插图画
				J218.6 壁画
				J218.7 动画（卡通）
				J218.9 其他用途画
			J219 其他绘画技法
		J22 中国绘画作品
			J221 作品综合集
				J221.8 个人绘画作品集
				J221.9 绘画范本
			J222 国画
				J222.7 现代作品
			J223 油画、漆画、涂料画
				J223.9 漆画、涂料画
			J224 素描、速写
			J225 水彩、水粉画
			J226 粉画、蜡笔画
			J227 版画
			J228 各种画：按用途分
				J228.1 宣传画
				J228.2 漫画
				J228.3 年画
				J228.4 连环画
				J228.7 动画(卡通)
			J229 其他绘画
		J23 各国绘画作品
			J231 作品综合集
				J231.9 绘画范本
			J232 民族技法画
				J232.9 中国画
			J233 油画、漆画、涂料画
				J233.9 漆画、涂料画
			J234 素描、速写
			J235 水彩、水粉画
			J236 粉画、蜡笔画
			J237 版画
			J238 各种画：按用途分
				J238.1 漫画、宣传画
				J238.7 动画(卡通)
			J239 其他绘画
		J29 书法篆刻
			J292 中国书法、篆刻
				J292.1 书法
					J292.11 毛笔字
					J292.12 硬笔字
					J292.13 美术字
					J292.14 少数民族文字
					J292.15 拼音文字
					J292.19 书法材料、工具的使用与保管
				J292.2 碑贴、书法作品:按时代分
					J292.2-3 碑帖源流考证、题跋、译文
					J292.2-7 碑帖目
					J292.21 碑贴丛刻
					J292.22 秦、汉书法
					J292.23 魏、晋、南北朝书法
					J292.24 隋、唐书法
					J292.25 宋、元书法
					J292.26 明、清书法
					J292.27 近代书法
					J292.28 现代书法
				J292.3 书法作品：按书体分
					J292.31 篆书书法
					J292.32 隶书书法
					J292.33 楷书书法
					J292.34 草书书法
					J292.35 行书书法
				J292.4 篆刻、治印及作品
					J292.41 篆刻法
					J292.42 历代印谱
					J292.47 现代印谱
			J293 外文书法
	J3 雕塑
		J30 雕塑理论
			J30-02 雕塑艺术的哲学基础
			J30-05 雕塑艺术与其他科学的关系
			J301 雕塑美学
			J302 雕塑艺术理论的基本问题
			J303 雕塑工作者
			J304 雕塑创作方法
			J305 雕塑评论、欣赏
			J306 雕塑造型艺术理论
			J309 雕塑艺术史
				J309.9 雕塑艺术流派及其研究
		J31 雕塑技法
			J311 基本技法
			J312 各种雕塑法：按样式分
				J312.1 圆雕
				J312.2 浮雕
				J312.3 悬雕
				J312.4 透雕
				J312.9 其他
			J313 各种雕塑法：按题材和体裁分
				J313.1 塑像
				J313.2 环境雕塑、建筑雕塑
				J313.3 装饰物品
				J313.5 动物、植物雕塑
				J313.9 其他
			J314 各种雕塑法：按材料分
				J314.2 木刻、木雕
				J314.3 石刻、石雕
				J314.4 金属雕刻
				J314.5 竹刻、竹雕
				J314.6 漆雕
				J314.7 泥塑
				J314.8 陶雕
				J314.9 其他
			J315 宗教雕塑
			J316 雕塑材料和工具
			J317 雕塑作品的修复和保管
		J32 中国雕塑作品
			J321 雕塑作品综合集
			J322 木刻、木雕
			J323 石刻、石雕
			J324 金属雕刻
			J325 竹刻、竹雕
			J326 漆雕
			J327 泥塑、塑像
			J328 陶雕
			J329 其他
		J33 各国雕塑作品
			J331 作品综合集
			J332 木刻、木雕
			J333 石刻、石雕
			J334 金属雕刻
			J335 竹刻、竹雕
			J336 漆雕
			J337 泥塑、塑像
			J338 陶雕
			J339 其他
	J4 摄影艺术
		J40 摄影艺术理论
			J40-02 摄影艺术的哲学基础
			J40-05 摄影艺术与其他科学的关系
			J401 摄影美学
			J402 摄影艺术理论基本问题
			J403 摄影工作者
			J404 摄影艺术创作方法
			J405 摄影评论、欣赏
			J406 摄影造型艺术理论
			J409 摄影艺术史
		J41 摄影技术
			J412 室内摄影
				J412.9 广告摄影
			J413 人像摄影
				J413.9 时装摄影
			J414 风光摄影
			J415 舞台摄影
			J416 动体摄影
			J417 夜间摄影
			J418 空中摄影、水下摄影
			J419.1 新闻摄影
			J419.3 建筑摄影
			J419.5 动物、植物摄影
			J419.9 其他
		J42 中国摄影艺术作品
			J421 摄影作品综合集
		J43 各国摄影艺术
			J431 摄影作品综合集
	J5 工艺美术
		J50 工艺美术理论
			J50-02 工艺美术的哲学基础
			J50-05 工艺美术与其他科学的关系
			J501 工艺美术美学
			J502 工艺美术理论的基本问题
			J503 工艺美术工作者
			J504 工艺美术创作方法
			J505 工艺美术评论、欣赏
			J506 工艺美术造型艺术理论
			J509 工艺美术史
				J509.9 工艺美术流派及其研究
		J51 图案学
		J52 中国工艺美术
			J521 工艺美术作品综合集
			J522 图案集
				J522.1 人物
				J522.2 动物
				J522.3 植物
				J522.8 少数民族图案
			J523 织染、服装、刺绣工艺美术
				J523.1 纺织
				J523.2 印染
				J523.3 地毯、挂毯
				J523.4 编织
				J523.5 服装
				J523.6 刺绣
			J524 工商工艺美术
				J524.1 产品、商品装潢
				J524.2 包装
				J524.3 广告
				J524.4 商标
			J525 装饰美术
